Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavarde1 3 4 9 10 4 5
Vardas2 Pavarde2 7 8 2 7 3 5
Vardas3 Pavarde3 4 10 4 8 5 7
Vardas4 Pavarde4 9 10 9 5 8 6
Vardas5 Pavarde5 5 4 1 8 8 10
Vardas6 Pavarde6 4 10 8 6 2 9
Vardas7 Pavarde7 9 8 7 6 6 5
Vardas8 Pavarde8 4 6 4 6 10 6
Vardas9 Pavarde9 8 9 9 4 8 2
Vardas10 Pavarde10 7 5 2 8 4 10
Vardas11 Pavarde11 7 3 7 6 9 9
Vardas12 Pavarde12 2 8 1 9 9 9
Vardas13 Pavarde13 5 8 4 6 10 7
Vardas14 Pavarde14 7 8 1 10 2 7
Vardas15 Pavarde15 4 1 8 7 1 7
Vardas16 Pavarde16 6 9 4 7 3 2
Vardas17 Pavarde17 9 10 4 8 8 1
Vardas18 Pavarde18 5 5 8 10 7 9
Vardas19 Pavarde19 8 3 6 6 8 10
Vardas20 Pavarde20 1 5 1 6 9 2
Vardas21 Pavarde21 7 3 10 5 10 10
Vardas22 Pavarde22 7 2 8 5 10 5
Vardas23 Pavarde23 5 8 4 2 2 8
Vardas24 Pavarde24 1 3 6 2 8 5
Vardas25 Pavarde25 10 6 5 9 3 10
Vardas26 Pavarde26 1 3 4 8 2 5
Vardas27 Pavarde27 8 8 9 1 5 8
Vardas28 Pavarde28 1 3 5 10 7 5
Vardas29 Pavarde29 3 9 9 1 5 4
Vardas30 Pavarde30 9 10 7 7 8 9
Vardas31 Pavarde31 3 8 3 9 7 1
Vardas32 Pavarde32 10 2 2 9 5 3
Vardas33 Pavarde33 4 1 8 9 7 2
Vardas34 Pavarde34 4 5 7 2 10 4
Vardas35 Pavarde35 1 3 3 8 2 8
Vardas36 Pavarde36 4 7 4 3 8 9
Vardas37 Pavarde37 8 7 10 1 2 1
Vardas38 Pavarde38 1 1 7 8 3 1
Vardas39 Pavarde39 8 9 3 9 9 10
Vardas40 Pavarde40 1 9 1 4 10 9
Vardas41 Pavarde41 9 8 7 2 6 7
Vardas42 Pavarde42 10 2 2 4 6 2
Vardas43 Pavarde43 10 5 8 3 2 3
Vardas44 Pavarde44 3 8 7 8 1 1
Vardas45 Pavarde45 8 3 6 2 6 5
Vardas46 Pavarde46 3 9 1 6 5 7
Vardas47 Pavarde47 6 6 3 7 9 4
Vardas48 Pavarde48 7 3 5 5 8 10
Vardas49 Pavarde49 6 6 10 10 2 10
Vardas50 Pavarde50 4 6 2 2 6 4
Vardas51 Pavarde51 8 3 3 4 10 6
Vardas52 Pavarde52 1 8 5 4 7 2
Vardas53 Pavarde53 2 5 3 7 5 10
Vardas54 Pavarde54 4 2 6 5 2 7
Vardas55 Pavarde55 1 7 4 9 2 8
Vardas56 Pavarde56 7 8 4 7 6 2
Vardas57 Pavarde57 10 1 8 1 1 3
Vardas58 Pavarde58 8 10 5 9 1 1
Vardas59 Pavarde59 8 4 1 1 10 2
Vardas60 Pavarde60 8 2 4 2 9 5
Vardas61 Pavarde61 4 10 3 5 3 1
Vardas62 Pavarde62 5 5 7 3 5 1
Vardas63 Pavarde63 6 10 4 1 4 6
Vardas64 Pavarde64 3 4 9 4 2 9
Vardas65 Pavarde65 4 2 10 5 5 3
Vardas66 Pavarde66 10 6 8 2 5 9
Vardas67 Pavarde67 8 3 1 5 2 7
Vardas68 Pavarde68 9 2 3 1 6 10
Vardas69 Pavarde69 10 9 1 7 10 5
Vardas70 Pavarde70 8 7 1 3 1 1
Vardas71 Pavarde71 1 1 4 8 7 1
Vardas72 Pavarde72 4 9 1 4 5 8
Vardas73 Pavarde73 7 9 3 10 5 4
Vardas74 Pavarde74 10 4 2 1 7 1
Vardas75 Pavarde75 1 9 6 10 6 9
Vardas76 Pavarde76 4 1 10 4 1 3
Vardas77 Pavarde77 6 6 2 1 2 7
Vardas78 Pavarde78 2 2 3 7 7 6
Vardas79 Pavarde79 5 3 1 6 9 10
Vardas80 Pavarde80 5 2 7 7 9 2
Vardas81 Pavarde81 7 7 9 7 6 5
Vardas82 Pavarde82 7 6 8 1 8 2
