Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas Pavarde 10 6 7 7 9 6
Kardas Gavarde 2 9 10 7 3 1
Vardas Pavarde 6 1 1 9 8 4
Vardas Pavarde 2 7 5 8 8 1
Kardas Gavarde 5 4 6 7 8 3
Vardas Pavarde 10 2 2 7 7 6
Vardas Pavarde 2 10 10 2 7 8
Kardas Gavarde 10 4 3 3 4 3
Vardas Pavarde 1 3 10 3 2 2
Vardas Pavarde 10 8 1 5 4 7
Kardas Gavarde 8 4 9 8 4 5
Vardas Pavarde 1 10 1 10 1 10
Vardas Pavarde 2 5 6 10 3 3
Kardas Gavarde 3 3 10 8 10 7
Vardas Pavarde 9 4 5 2 3 2
Vardas Pavarde 8 10 4 2 2 8
Kardas Gavarde 6 1 1 6 7 9
Vardas Pavarde 5 8 7 10 3 3
Vardas Pavarde 9 5 9 2 9 7
Kardas Gavarde 3 1 2 9 8 1
Vardas Pavarde 4 8 2 8 7 8
Vardas Pavarde 4 2 9 9 10 5
Kardas Gavarde 5 4 9 2 6 2
Vardas Pavarde 3 7 4 1 9 6
Vardas Pavarde 3 7 5 8 10 1
Kardas Gavarde 10 10 9 7 3 2
Vardas Pavarde 2 4 9 2 4 2
Vardas Pavarde 8 7 5 5 4 2
Kardas Gavarde 1 4 3 8 2 3
Vardas Pavarde 2 5 9 7 4 7
Vardas Pavarde 9 7 7 10 2 10
Kardas Gavarde 1 9 6 6 1 5
Vardas Pavarde 7 3 5 7 5 2
Vardas Pavarde 7 2 1 6 3 4
Kardas Gavarde 3 3 9 4 1 2
Vardas Pavarde 4 9 7 9 2 4
Vardas Pavarde 10 2 10 5 7 5
Kardas Gavarde 4 1 6 3 5 10
Vardas Pavarde 2 5 1 5 9 3
Vardas Pavarde 7 6 9 10 10 3
Kardas Gavarde 5 3 5 10 9 6
Vardas Pavarde 4 5 5 10 2 4
Vardas Pavarde 6 5 4 3 4 4
Kardas Gavarde 4 9 5 3 8 5
Vardas Pavarde 7 4 6 1 7 6
Vardas Pavarde 2 8 6 2 10 3
Kardas Gavarde 7 1 9 10 3 4
Vardas Pavarde 5 10 10 10 3 9
Vardas Pavarde 8 9 10 9 10 3
Kardas Gavarde 10 7 2 2 5 1
Vardas Pavarde 3 7 10 2 3 8
Vardas Pavarde 9 8 8 7 9 5
Kardas Gavarde 5 2 7 10 9 10
Vardas Pavarde 8 2 1 6 10 1
Vardas Pavarde 6 9 9 9 10 8
Kardas Gavarde 1 9 7 7 3 6
Vardas Pavarde 7 8 6 5 4 2
Vardas Pavarde 1 6 2 6 8 4
Kardas Gavarde 9 7 8 5 8 8
Vardas Pavarde 10 9 9 10 9 1
Vardas Pavarde 5 9 8 7 4 8
Kardas Gavarde 2 1 1 10 2 2
Vardas Pavarde 5 8 10 10 9 1
Vardas Pavarde 5 5 4 8 7 5
Kardas Gavarde 5 10 4 8 5 7
Vardas Pavarde 2 6 6 7 10 5
Vardas Pavarde 10 6 7 6 7 6
Kardas Gavarde 8 6 8 8 6 2
Vardas Pavarde 8 7 9 10 4 3
Vardas Pavarde 3 2 4 3 5 1
Kardas Gavarde 9 6 4 5 8 2
Vardas Pavarde 8 5 2 8 9 7
Vardas Pavarde 9 5 3 3 9 2
Kardas Gavarde 9 2 6 2 6 6
Vardas Pavarde 10 6 6 9 8 2
Vardas Pavarde 1 10 8 4 5 5
Kardas Gavarde 1 2 7 3 4 3
Vardas Pavarde 1 5 3 9 7 1
Vardas Pavarde 4 9 6 5 5 1
Kardas Gavarde 1 9 2 3 2 7
Vardas Pavarde 3 7 7 3 3 1
Vardas Pavarde 8 1 3 4 1 4
Kardas Gavarde 9 4 10 4 4 2
Vardas Pavarde 8 10 10 5 9 10
Vardas Pavarde 9 7 8 10 1 8
Kardas Gavarde 7 1 2 6 8 8
